clip,truth,speed_mph,direction,distance_m,n_samples,duration_s,pi3_status,review_reason
20260822_105852_id85_35mph.mp4,car,34.5,Eastbound,6.1,,,,
20260822_111033_id116_119mph.mp4,junk,119.3,Eastbound,218.3,,,rejected,traveled 218 m across the scene (max plausible 45 m) - phantom track (backfilled)
20260822_112025_id133_33mph.mp4,car,33.1,Eastbound,6.7,,,,
20260822_112140_id135_48mph.mp4,junk,48.4,Eastbound,85.0,,,rejected,traveled 85 m across the scene (max plausible 45 m) - phantom track (backfilled)
20260822_113057_id168_53mph.mp4,junk,52.7,Eastbound,105.5,,,rejected,traveled 106 m across the scene (max plausible 45 m) - phantom track (backfilled)
20260822_113224_id178_45mph.mp4,junk,45.3,Westbound,29.3,,,rejected,no vehicle in clip - cyclist (backfilled)
20260822_113251_id179_115mph.mp4,junk,115.1,Eastbound,112.2,,,rejected,traveled 112 m across the scene (max plausible 45 m) - phantom track (backfilled)
20260822_115040_id224_36mph.mp4,junk,36.1,Eastbound,86.7,,,rejected,traveled 87 m across the scene (max plausible 45 m) - phantom track (backfilled)
20260822_120240_id250_41mph.mp4,junk,41.0,Eastbound,129.7,,,rejected,traveled 130 m across the scene (max plausible 45 m) - phantom track (backfilled)
20260822_121937_id71_35mph.mp4,car,35.1,Eastbound,5.8,9,0.39,ok,
20260822_123228_id24_39mph.mp4,car,39.4,Westbound,5.6,8,0.32,ok,
20260822_130908_id407_35mph.mp4,junk,35.5,Eastbound,8.2,7,0.44,rejected,pedestrian walking in front of camera (manually rejected)
20260822_130927_id416_80mph.mp4,junk,80.1,Eastbound,28,12,0.74,rejected,pedestrian walking in front of camera (manually rejected)
20260822_131801_id477_93mph.mp4,junk,92.6,Westbound,43.2,18,1.06,rejected,"child on a scooter, not a car (manually rejected)"
20260822_134222_id576_36mph.mp4,car,36.2,Eastbound,4.8,7,0.3,ok,
20260822_135715_id642_33mph.mp4,car,33.2,Eastbound,3.8,6,0.26,ok,
20260822_140653_id699_46mph.mp4,junk,46.5,Eastbound,10.5,6,0.22,rejected,"cyclist, not a car (manually rejected)"
20260822_182242_id70_35mph.mp4,car,35.1,Eastbound,6.2,9,0.38,ok,
20260822_190257_id183_49mph.mp4,car,48.8,Westbound,7.1,7,0.33,ok,
20260822_211749_id523_36mph.mp4,junk,35.8,Eastbound,5,8,0.29,rejected,low-light false positive: too dark for reliable detection at night (deep-sweep)
20260822_212125_id540_91mph.mp4,junk,90.9,Eastbound,15,9,0.35,rejected,low-light false positive: too dark for reliable detection at night (deep-sweep)
20260822_214136_id642_52mph.mp4,junk,51.9,Westbound,16.9,9,0.73,rejected,low-light false positive: too dark for reliable detection at night (deep-sweep)
20260822_220829_id722_107mph.mp4,junk,107.1,Eastbound,30,10,0.63,rejected,low-light false positive: too dark for reliable detection at night (deep-sweep)
20260822_222427_id792_40mph.mp4,junk,40.4,Westbound,15.1,8,0.83,rejected,low-light false positive: too dark for reliable detection at night (deep-sweep)
20260823_100755_id144_38mph.mp4,car,37.8,Eastbound,8.4,11,0.5,ok,
20260823_105419_id121_34mph.mp4,car,34,Eastbound,3.9,7,0.27,ok,
20260823_111315_id243_33mph.mp4,car,33.1,Westbound,3.9,6,0.26,ok,
20260823_115305_id90_69mph.mp4,junk,69,Westbound,8.9,6,0.3,rejected,"off the calibrated road — two children in the foreground grass, not a road vehicle"
20260823_125927_id195_92mph.mp4,junk,91.7,Westbound,29.5,6,0.36,ok,
20260823_130451_id232_35mph.mp4,car,35.4,Eastbound,5.3,8,0.33,ok,
20260823_132445_id276_39mph.mp4,car,39.4,Eastbound,4.5,6,0.24,ok,
20260823_132833_id283_93mph.mp4,junk,92.5,Westbound,42.1,18,0.92,ok,
20260823_132945_id305_37mph.mp4,junk,37.3,Westbound,17.1,8,0.6,ok,
20260823_134356_id353_34mph.mp4,car,34.3,Westbound,4.6,7,0.31,ok,
20260823_135830_id470_35mph.mp4,car,35.1,Eastbound,4.9,7,0.31,ok,
20260823_142058_id620_47mph.mp4,car,47.1,Westbound,10.6,7,0.37,ok,
